region	population	year	month	count_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
Эстонская ССР	1126413	1942	6	10	0.0	0.0	0.0	0.0	0.0	0.0	0.2222	0.2222	0.2222	0.3333	0.3333	0.3333	0.5556	0.6667	0.6667	0.7778	0.7778	0.7778	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	7	22	0.0	0.0	0.0	0.0455	0.0455	0.0455	0.0455	0.1364	0.1818	0.2273	0.2273	0.2273	0.2727	0.5	0.5	0.6364	0.6364	0.7273	0.8636	0.9091	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	8	8	0.0	0.0	0.0	0.0	0.5714	0.5714	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	9	8	0.0	0.0	0.0	0.0	0.375	0.375	0.5	0.5	0.5	0.625	0.625	0.625	0.875	0.875	0.875	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	10	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.125	0.125	0.125	0.125	0.375	0.375	0.625	0.75	0.875	0.875	0.875	0.875	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	11	10	0.0	0.0	0.0	0.0	0.0	0.0	0.1111	0.1111	0.1111	0.1111	0.1111	0.1111	0.1111	0.2222	0.4444	0.5556	0.5556	0.6667	0.7778	0.7778	0.7778	0.7778	0.7778	0.7778	0.7778	0.8889	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	12	23	0.0	0.0	0.0	0.0	0.0	0.0	0.1364	0.2727	0.3182	0.4091	0.4545	0.4545	0.5	0.5	0.5455	0.8182	0.8182	0.8182	0.8636	0.8636	0.9091	0.9091	0.9091	0.9091	0.9545	0.9545	0.9545	0.9545	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	1	17	0.0	0.0	0.0	0.0	0.2857	0.2857	0.2857	0.2857	0.2857	0.2857	0.2857	0.3571	0.4286	0.4286	0.5	0.5714	0.5714	0.6429	0.6429	0.6429	0.7143	0.7857	0.8571	0.8571	0.8571	0.8571	0.8571	0.9286	0.9286	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	2	2	0.0	0.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	3	5	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.2	0.2	0.4	0.4	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
